provincia,DIA,SEMANA,vendedor,gestor_servicio,Cod Empresa,RazonSocial,Latitud,Longitud
SANTO DOMINGO,LUNES,1,EDUARD CEBALLOS,EVELYN,karaka613,DUME ORIENTAL SRL.,"18,51091","-69,85707"
SANTO DOMINGO,MIERCOLES,3,EDUARD CEBALLOS,JOSE,karaka1052,"DTODO TIENDA , EIRL","18,53219","-69,90694"
SANTO DOMINGO,MIERCOLES,3,EDUARD CEBALLOS,JOSE,distribuidora1023,DTODO TIENDA,"18,53219","-69,90694"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,JOSE,karaka1052,"DTODO TIENDA , EIRL","18,53219","-69,90694"
SANTO DOMINGO,MIERCOLES,1,EDUARD CEBALLOS,JOSE,distribuidora1023,DTODO TIENDA,"18,53219","-69,90694"
DISTRITO NACIONAL,MIERCOLES,2,EDUARD CEBALLOS,JOSE,distribuidora205,DISTRIBUIDORA DERICK,"18,4877","-69,89963"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,DIOGENES,distribuidora109,DISTRIBUIDORA DE CRISTALERIA,"18,4698","-69,8891"
DISTRITO NACIONAL,MIERCOLES,4,EDUARD CEBALLOS,JOSE,distribuidora1907,DISTRIBUIDORA COMERCIAL LA FAMILIA II(DICOFA II),"18,48724","-69,89996"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka508,DIONISIO QUIÃ‘ONES & ASOCIADOS S.R.L.,"18,4475","-69,93544"
DISTRITO NACIONAL,LUNES,3,EDUARD CEBALLOS,RYAN,distribuidora2035,DIONISIO QUIÃ‘ONES & ASOC. (SUPERMERCADO CARIBE II),"18,4405","-69,95174"
DISTRITO NACIONAL,MIERCOLES,4,EDUARD CEBALLOS,JOSE,karaka809,DICOFA,"18,48724","-69,89996"
SANTO DOMINGO,,,EDUARD CEBALLOS,DIOGENES,karaka955,"DIAMOND MB PRODUCTIONS, SRL","18,53036","-69,81351"
